time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-07T15:12:01.500Z,35.9146667,-117.703,1.81,2.58,ml,24,61,0.08486,0.23,ci,ci38477063,2019-07-07T15:21:34.659Z,"18km E of Little Lake, CA",earthquake,0.35,0.7,0.12,25,automatic,ci,ci
2019-07-07T15:11:26.890Z,47.1256666666667,-122.7025,20.65,1.66,ml,27,42,,0.26,uw,uw61533766,2019-07-07T15:26:45.430Z,"6km WNW of DuPont, Washington",earthquake,0.35,0.82,0.177410083847706,15,reviewed,uw,uw
2019-07-07T15:10:17.000Z,35.7081667,-117.5316667,9.41,1.66,ml,19,79,0.12,0.17,ci,ci38477055,2019-07-07T15:22:12.724Z,"13km WSW of Searles Valley, CA",earthquake,0.31,1.07,0.167,25,automatic,ci,ci
2019-07-07T15:08:39.249Z,0.545,126.2284,24.94,6.9,mww,,21,1.16,1.02,us,us70004dz3,2019-07-07T15:31:01.936Z,"129km WSW of Kota Ternate, Indonesia",earthquake,6.2,4.7,0.073,18,reviewed,us,us
2019-07-07T15:08:08.490Z,35.75,-117.5833333,2.12,2.1,ml,26,65,0.0666,0.17,ci,ci38477047,2019-07-07T15:11:54.797Z,"16km W of Searles Valley, CA",earthquake,0.25,0.55,0.157,25,automatic,ci,ci
2019-07-07T15:07:27.590Z,35.9408333,-117.2743333,0.09,1.81,ml,9,154,0.2657,0.23,ci,ci38477039,2019-07-07T15:11:33.977Z,"22km NNE of Trona, CA",earthquake,0.87,31.61,0.413,12,automatic,ci,ci
2019-07-07T15:07:06.890Z,35.6173333,-117.447,3.12,1.89,ml,25,67,0.03317,0.24,ci,ci38477031,2019-07-07T15:10:58.974Z,"17km SSW of Searles Valley, CA",earthquake,0.44,0.87,0.204,26,automatic,ci,ci
2019-07-07T15:07:06.129Z,61.4768,-149.9345,31.5,0.9,ml,,,,0.71,ak,ak0198n609ec,2019-07-07T15:11:53.237Z,"5km SSE of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-07-07T15:06:47.840Z,35.9166667,-117.7135,1.9,1.6,ml,18,63,0.09064,0.16,ci,ci38477023,2019-07-07T15:10:39.970Z,"18km E of Little Lake, CA",earthquake,0.24,0.45,0.095,16,automatic,ci,ci
2019-07-07T15:06:04.730Z,36.0355,-117.6755,-0.15,2.1,ml,14,133,0.1162,0.25,ci,ci38477015,2019-07-07T15:09:49.967Z,"24km ENE of Little Lake, CA",earthquake,0.62,31.61,0.135,17,automatic,ci,ci
2019-07-07T15:05:05.000Z,35.5726667,-117.4161667,7.22,2.92,ml,31,70,0.03998,0.11,ci,ci38477007,2019-07-07T15:18:58.844Z,"22km S of Trona, CA",earthquake,0.2,0.53,0.136,25,automatic,ci,ci
2019-07-07T15:03:05.840Z,35.924,-117.7213333,2.48,1.65,ml,14,67,0.0822,0.14,ci,ci38476991,2019-07-07T15:06:55.947Z,"17km E of Little Lake, CA",earthquake,0.25,0.41,0.175,19,automatic,ci,ci
2019-07-07T15:02:05.060Z,35.7651667,-117.6295,8.62,1.43,ml,18,95,0.05677,0.23,ci,ci38476983,2019-07-07T15:05:38.996Z,"17km NNE of Ridgecrest, CA",earthquake,0.44,1.02,0.167,20,automatic,ci,ci
2019-07-07T15:00:04.050Z,35.6321667,-117.4301667,1.49,2.38,ml,25,69,0.1196,0.14,ci,ci38476975,2019-07-07T15:11:16.600Z,"15km S of Searles Valley, CA",earthquake,0.26,0.99,0.185,26,automatic,ci,ci
2019-07-07T14:59:07.500Z,35.8758333,-117.6863333,1.33,1.81,ml,16,80,0.09105,0.23,ci,ci38476967,2019-07-07T15:03:01.416Z,"21km ESE of Little Lake, CA",earthquake,0.39,0.73,0.102,27,automatic,ci,ci
2019-07-07T14:58:57.510Z,35.949,-117.5875,23.2,1.18,ml,12,117,0.01758,0.2,ci,ci38476959,2019-07-07T15:02:39.899Z,"26km NW of Searles Valley, CA",earthquake,0.76,1.38,0.076,6,automatic,ci,ci
2019-07-07T14:57:52.980Z,35.894,-117.7173333,6.95,1.9,ml,22,53,0.0936,0.16,ci,ci38476951,2019-07-07T15:01:39.897Z,"18km ESE of Little Lake, CA",earthquake,0.28,0.59,0.16,27,automatic,ci,ci
2019-07-07T14:57:26.000Z,35.905,-117.9345,-0.01,1.28,ml,6,124,0.1046,0.26,ci,ci38476943,2019-07-07T15:01:14.544Z,"4km SW of Little Lake, CA",earthquake,1.17,31.61,0.105,14,automatic,ci,ci
2019-07-07T14:56:00.730Z,35.0146667,-116.8266667,2.5,2.14,ml,19,70,0.1806,0.15,ci,ci38476935,2019-07-07T15:15:31.043Z,"22km NE of Barstow, CA",earthquake,0.27,1.4,0.14,27,automatic,ci,ci
2019-07-07T14:54:53.620Z,35.8936667,-117.6951667,4.51,2.9,ml,26,44,0.08669,0.2,ci,ci38476927,2019-07-07T15:16:48.653Z,"20km ESE of Little Lake, CA",earthquake,0.29,0.68,0.164,25,automatic,ci,ci
2019-07-07T14:54:02.170Z,35.875,-117.7111667,3.2,1.62,ml,20,67,0.07937,0.22,ci,ci38476919,2019-07-07T14:57:53.881Z,"19km ESE of Little Lake, CA",earthquake,0.4,1.32,0.159,25,automatic,ci,ci
2019-07-07T14:53:21.210Z,35.8045,-117.6345,4.94,1.39,ml,15,72,0.03209,0.17,ci,ci38476911,2019-07-07T14:56:53.675Z,"21km N of Ridgecrest, CA",earthquake,0.38,0.55,0.149,9,automatic,ci,ci
2019-07-07T14:52:45.440Z,35.8901667,-117.7161667,4.9,2.1,ml,25,48,0.09054,0.16,ci,ci38476903,2019-07-07T15:03:22.116Z,"18km ESE of Little Lake, CA",earthquake,0.27,0.62,0.225,27,automatic,ci,ci
2019-07-07T14:52:22.780Z,35.8933333,-117.7091667,7.04,1.67,ml,16,66,0.09594,0.21,ci,ci38476895,2019-07-07T15:05:18.649Z,"18km ESE of Little Lake, CA",earthquake,0.37,1.17,0.369,21,automatic,ci,ci
2019-07-07T14:51:50.692Z,64.2531,-149.8426,17.3,1.2,ml,,,,0.55,ak,ak0198n5ocr2,2019-07-07T14:56:29.109Z,"50km SW of North Nenana, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-07-07T14:51:10.890Z,35.8988333,-117.309,21.18,1.75,ml,11,142,0.02229,0.4,ci,ci38476887,2019-07-07T14:54:53.861Z,"16km NNE of Trona, CA",earthquake,1.82,3.7,0.293,24,automatic,ci,ci
2019-07-07T14:49:45.080Z,35.8296667,-117.6373333,5.48,1.76,ml,19,86,0.03522,0.18,ci,ci38476879,2019-07-07T14:59:48.894Z,"22km WNW of Searles Valley, CA",earthquake,0.32,0.72,0.142,20,automatic,ci,ci
2019-07-07T14:49:22.980Z,35.0026667,-117.6753333,0.14,1.72,ml,11,272,0.07026,0.25,ci,ci38476871,2019-07-07T14:53:29.339Z,"2km W of Boron, CA",quarry blast,4.59,31.61,0.136,28,automatic,ci,ci
2019-07-07T14:48:04.900Z,35.9075012,-117.6965027,2.48,2.04,ml,12,65,0.08193,0.1,ci,ci38476863,2019-07-07T15:00:05.523Z,"19km E of Little Lake, CA",earthquake,0.3,0.45,0.429,9,automatic,ci,ci
2019-07-07T14:46:40.520Z,35.9138336,-117.7116699,1.81,3.6,mw,53,38,0.09189,0.19,ci,ci38476855,2019-07-07T15:31:54.040Z,"18km E of Little Lake, CA",earthquake,0.18,0.36,,4,automatic,ci,ci
2019-07-07T14:46:21.460Z,35.8836667,-117.7413333,4.62,1.73,ml,24,39,0.07735,0.17,ci,ci38476847,2019-07-07T14:54:12.618Z,"16km ESE of Little Lake, CA",earthquake,0.25,0.61,0.124,26,automatic,ci,ci
2019-07-07T14:45:31.110Z,35.8848333,-117.6288333,7.11,1.64,ml,21,65,0.05533,0.34,ci,ci38476839,2019-07-07T14:51:16.395Z,"24km WNW of Searles Valley, CA",earthquake,0.6,1.84,0.191,23,automatic,ci,ci
2019-07-07T14:42:38.910Z,34.178,-117.262,2.63,2.47,ml,96,25,0.02688,0.21,ci,ci38476831,2019-07-07T15:30:46.122Z,"6km NNE of San Bernardino, CA",earthquake,0.18,0.32,0.132,23,automatic,ci,ci
2019-07-07T14:41:46.800Z,35.9036667,-117.7076667,2.52,1.19,ml,15,65,0.09176,0.12,ci,ci38476807,2019-07-07T14:45:27.311Z,"18km ESE of Little Lake, CA",earthquake,0.19,0.32,0.142,15,automatic,ci,ci
2019-07-07T14:40:48.460Z,38.8214989,-122.7894974,0.97,0.66,md,10,81,0.01073,0.04,nc,nc73213171,2019-07-07T14:55:04.110Z,"6km NNW of The Geysers, CA",earthquake,0.32,0.59,0.22,2,automatic,nc,nc
2019-07-07T14:40:19.990Z,35.8681667,-117.6981667,9.4,1.64,ml,17,73,0.08047,0.11,ci,ci38476791,2019-07-07T14:44:10.737Z,"20km ESE of Little Lake, CA",earthquake,0.24,0.68,0.129,12,automatic,ci,ci
2019-07-07T14:39:55.990Z,35.921,-117.6415,24.15,1.74,ml,14,85,0.03548,0.25,ci,ci38476783,2019-07-07T14:43:36.597Z,"24km E of Little Lake, CA",earthquake,0.8,1.33,0.205,15,automatic,ci,ci
2019-07-07T14:38:07.050Z,35.5811667,-117.3556667,1.41,1.72,ml,16,111,0.05656,0.15,ci,ci38476775,2019-07-07T14:42:00.203Z,"20km S of Trona, CA",earthquake,0.33,0.59,0.2,26,automatic,ci,ci
2019-07-07T14:37:44.850Z,35.6295,-117.6855,0.21,1.23,ml,9,152,0.08207,0.25,ci,ci38476767,2019-07-07T14:41:33.954Z,"1km NW of Ridgecrest, CA",earthquake,0.83,31.61,0.233,16,automatic,ci,ci
2019-07-07T14:37:02.585Z,61.4419,-150.3365,8.3,1.2,ml,,,,0.73,ak,ak0198n5l90k,2019-07-07T14:41:35.275Z,"22km WSW of Big Lake, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-07-07T14:36:14.970Z,35.5821667,-117.3595,1.61,1.95,ml,16,75,0.05724,0.21,ci,ci38476759,2019-07-07T14:40:10.193Z,"20km S of Trona, CA",earthquake,0.4,0.65,0.17,26,automatic,ci,ci
2019-07-07T14:33:33.560Z,35.8728333,-117.7283333,6.98,2.63,ml,26,57,0.07068,0.14,ci,ci38476751,2019-07-07T14:44:46.450Z,"18km ESE of Little Lake, CA",earthquake,0.19,0.47,0.153,25,automatic,ci,ci
2019-07-07T14:32:51.480Z,35.8933333,-117.6876667,11.29,2.6,ml,13,78,0.08159,0.3,ci,ci38476743,2019-07-07T14:36:45.172Z,"20km ESE of Little Lake, CA",earthquake,0.73,1.67,0.255,26,automatic,ci,ci
2019-07-07T14:32:03.310Z,35.674,-117.5221667,9.58,2.76,ml,27,61,0.1,0.14,ci,ci38476735,2019-07-07T14:43:02.620Z,"15km SW of Searles Valley, CA",earthquake,0.22,0.59,0.129,25,automatic,ci,ci
2019-07-07T14:31:38.430Z,35.9983333,-117.5493333,21.59,1.71,ml,10,165,0.07557,0.22,ci,ci38476727,2019-07-07T14:35:26.909Z,"29km NNW of Searles Valley, CA",earthquake,1.32,1.13,0.25,21,automatic,ci,ci
2019-07-07T14:29:41.110Z,35.684,-117.4711667,6.16,1.64,ml,17,165,0.09756,0.1,ci,ci38476719,2019-07-07T14:33:30.643Z,"11km SSW of Searles Valley, CA",earthquake,0.34,0.92,0.116,10,automatic,ci,ci
2019-07-07T14:28:18.850Z,35.6566658,-117.5846634,7.83,3.18,ml,48,57,0.1219,0.19,ci,ci38476711,2019-07-07T15:07:27.040Z,"9km ENE of Ridgecrest, CA",earthquake,0.2,0.9,0.28,17,automatic,ci,ci
2019-07-07T14:27:41.030Z,35.7768333,-117.5931667,9.23,1.86,ml,25,71,0.03898,0.19,ci,ci38476703,2019-07-07T14:31:26.096Z,"17km W of Searles Valley, CA",earthquake,0.33,0.74,0.185,25,automatic,ci,ci
2019-07-07T14:26:20.590Z,35.9043333,-117.724,2.44,1.65,ml,19,70,0.08834,0.2,ci,ci38476695,2019-07-07T14:30:06.089Z,"17km ESE of Little Lake, CA",earthquake,0.37,0.53,0.18,23,automatic,ci,ci
2019-07-07T14:23:15.770Z,35.8371667,-117.6725,8.91,1.62,ml,16,79,0.06458,0.14,ci,ci38476687,2019-07-07T14:27:03.271Z,"24km ESE of Little Lake, CA",earthquake,0.33,0.77,0.163,12,automatic,ci,ci
2019-07-07T14:22:11.992Z,60.7298,-148.1682,17.4,2.3,ml,,,,0.66,ak,ak0198n5i1zh,2019-07-07T14:51:52.040Z,"28km E of Whittier, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-07-07T14:21:35.000Z,35.6446648,-117.4235001,4.2,3.29,ml,67,45,0.06605,0.15,ci,ci38476671,2019-07-07T15:04:19.040Z,"14km S of Searles Valley, CA",earthquake,0.16,0.52,0.226,20,automatic,ci,ci
2019-07-07T14:21:10.280Z,35.7066667,-117.383,0.47,1.99,ml,14,117,0.1362,0.31,ci,ci38476655,2019-07-07T14:26:57.073Z,"6km S of Trona, CA",earthquake,0.87,1.41,0.158,26,automatic,ci,ci
2019-07-07T14:21:08.760Z,33.810833,-117.7401657,29.03,1.1,ml,9,104,0.1524,0.3,ci,ci38476663,2019-07-07T14:25:10.059Z,"7km E of Villa Park, CA",earthquake,1.5,3,0.238,8,automatic,ci,ci
2019-07-07T14:20:32.000Z,35.852,-117.6691667,10.04,1.72,ml,13,82,0.06855,0.32,ci,ci38476647,2019-07-07T14:24:20.055Z,"23km ESE of Little Lake, CA",earthquake,0.77,1.72,0.105,26,automatic,ci,ci
2019-07-07T14:17:23.870Z,35.6598333,-117.7408333,3.62,1.57,ml,15,100,0.03339,0.34,ci,ci38476631,2019-07-07T14:21:10.371Z,"7km ENE of Inyokern, CA",earthquake,0.84,1.52,0.121,18,automatic,ci,ci
2019-07-07T14:16:45.138Z,64.7166,-146.6244,24.5,0.7,ml,,,,0.54,ak,ak0198n5gu8x,2019-07-07T14:20:08.333Z,"21km ENE of Eielson Air Force Base, Alaska",earthquake,,0.8,,,automatic,ak,ak
2019-07-07T14:16:28.690Z,35.6641667,-117.505,2.29,1.81,ml,21,83,0.08498,0.16,ci,ci38476623,2019-07-07T14:20:18.027Z,"15km SW of Searles Valley, CA",earthquake,0.3,0.63,0.151,26,automatic,ci,ci
2019-07-07T14:15:31.460Z,35.9393333,-117.2116667,7.93,1.85,ml,12,255,0.3165,0.31,ci,ci38476615,2019-07-07T14:19:29.001Z,"25km NE of Trona, CA",earthquake,3.9,6.02,0.221,18,automatic,ci,ci
2019-07-07T14:14:16.310Z,35.6906667,-117.5525,9.45,2.67,ml,29,59,0.1273,0.19,ci,ci38476607,2019-07-07T14:25:21.190Z,"14km NE of Ridgecrest, CA",earthquake,0.31,0.84,0.173,25,automatic,ci,ci
2019-07-07T14:13:51.340Z,19.4239998,-155.4053345,6.72,1.93,ml,53,34,0.07118,0.24,hv,hv71037357,2019-07-07T14:19:34.790Z,"17km W of Volcano, Hawaii",earthquake,0.36,0.95,0.18,4,automatic,hv,hv
2019-07-07T14:13:50.283Z,62.7268,-152.1958,3.7,1.6,ml,,,,1.32,ak,ak0198n5g7hj,2019-07-07T14:18:27.181Z,"116km WNW of Talkeetna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-07-07T14:13:48.493Z,62.134,-150.5118,0,1.4,ml,,,,1.49,ak,ak0198n5g7cx,2019-07-07T14:18:27.534Z,"29km SW of Talkeetna, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-07-07T14:13:33.630Z,35.9,-117.6803333,1.74,1.97,ml,18,68,0.0731,0.18,ci,ci38476599,2019-07-07T14:17:22.472Z,"21km E of Little Lake, CA",earthquake,0.29,0.46,0.114,25,automatic,ci,ci
2019-07-07T14:13:06.070Z,33.0308333,-116.4266667,2.79,0.39,ml,20,90,0.1385,0.3,ci,ci38476591,2019-07-07T14:16:49.469Z,"17km ESE of Julian, CA",earthquake,0.66,2.86,0.129,4,automatic,ci,ci
2019-07-07T14:11:25.600Z,35.681,-117.5316667,7.78,1.89,ml,20,134,0.11,0.23,ci,ci38476583,2019-07-07T14:15:16.458Z,"15km ENE of Ridgecrest, CA",earthquake,0.47,1.59,0.168,27,automatic,ci,ci
2019-07-07T14:10:08.410Z,35.634,-117.4333333,4.83,2.04,ml,22,68,0.05291,0.18,ci,ci38476575,2019-07-07T14:13:56.449Z,"15km S of Searles Valley, CA",earthquake,0.33,0.64,0.194,26,automatic,ci,ci
2019-07-07T14:08:47.900Z,36.0811667,-117.8435,2.76,2.05,ml,17,106,0.03748,0.11,ci,ci38476559,2019-07-07T14:12:21.377Z,"10km ENE of Coso Junction, CA",earthquake,0.27,0.41,0.21,26,automatic,ci,ci
2019-07-07T14:07:22.860Z,35.7315,-117.5511667,9.7,2.33,ml,24,67,0.09212,0.2,ci,ci38476551,2019-07-07T14:11:01.327Z,"14km WSW of Searles Valley, CA",earthquake,0.36,0.85,0.197,25,automatic,ci,ci
2019-07-07T14:07:01.940Z,35.7293333,-117.5238333,2.52,1.76,ml,15,75,0.105,0.22,ci,ci38476543,2019-07-07T14:10:57.785Z,"12km WSW of Searles Valley, CA",earthquake,0.45,1.12,0.124,26,automatic,ci,ci
2019-07-07T14:03:42.730Z,35.9548333,-117.7175,1.98,1.58,ml,14,84,0.08147,0.17,ci,ci38476519,2019-07-07T14:07:36.303Z,"17km E of Little Lake, CA",earthquake,0.32,0.51,0.165,16,automatic,ci,ci
2019-07-07T14:02:49.600Z,36.1743317,-117.9840012,1.72,1.74,ml,23,68,0.1189,0.23,ci,ci38476511,2019-07-07T14:06:31.297Z,"12km S of Olancha, CA",earthquake,0.5,0.79,0.178,9,automatic,ci,ci
2019-07-07T13:59:50.940Z,35.9111667,-117.7038333,3.3,1.44,ml,14,103,0.08644,0.25,ci,ci38476495,2019-07-07T14:03:19.731Z,"18km E of Little Lake, CA",earthquake,0.57,2.32,0.249,19,automatic,ci,ci
2019-07-07T13:58:18.250Z,35.6738333,-117.5505,1.84,1.42,ml,14,147,0.113,0.28,ci,ci38476487,2019-07-07T14:02:02.003Z,"13km ENE of Ridgecrest, CA",earthquake,0.56,1.01,0.113,18,automatic,ci,ci
2019-07-07T13:56:26.510Z,35.8693333,-117.6835,1.6,1.85,ml,18,51,0.08798,0.19,ci,ci38476471,2019-07-07T14:00:18.712Z,"21km ESE of Little Lake, CA",earthquake,0.34,0.58,0.195,26,automatic,ci,ci
2019-07-07T13:55:14.181Z,61.4894,-149.9365,33.2,1.3,ml,,,,0.64,ak,ak0198n53p6i,2019-07-07T14:00:02.636Z,"3km SSE of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-07-07T13:55:01.710Z,35.5798333,-117.3083333,1.27,1.43,ml,14,124,0.07141,0.36,ci,ci38476455,2019-07-07T14:14:15.493Z,"22km SSE of Trona, CA",earthquake,1.31,2.53,0.303,16,automatic,ci,ci
2019-07-07T13:50:11.870Z,35.6488333,-117.4473333,8.76,1.87,ml,17,92,0.06337,0.17,ci,ci38476439,2019-07-07T13:54:00.672Z,"14km SSW of Searles Valley, CA",earthquake,0.37,1.02,0.139,26,automatic,ci,ci
2019-07-07T13:48:07.940Z,35.8455009,-117.9731674,18.09,1.36,ml,12,121,0.05454,0.24,ci,ci38476431,2019-07-07T13:51:46.636Z,"12km SSW of Little Lake, CA",earthquake,0.83,2.09,0.315,7,automatic,ci,ci
2019-07-07T13:46:40.100Z,35.8646667,-117.6543333,12.17,1.75,ml,14,105,0.0672,0.29,ci,ci38476423,2019-07-07T13:50:24.625Z,"24km ESE of Little Lake, CA",earthquake,0.67,1.17,0.125,18,automatic,ci,ci
2019-07-07T13:45:52.580Z,35.603,-117.6645,7.04,1.81,ml,12,145,0.1134,0.19,ci,ci38476407,2019-07-07T13:49:49.622Z,"2km SSE of Ridgecrest, CA",earthquake,0.61,1.27,0.219,26,automatic,ci,ci
2019-07-07T13:44:31.660Z,35.6465,-117.4511667,0.27,1.62,ml,22,91,0.06054,0.23,ci,ci38476399,2019-07-07T13:48:29.611Z,"14km SSW of Searles Valley, CA",earthquake,0.45,31.61,0.11,21,automatic,ci,ci
2019-07-07T13:42:30.232Z,62.8642,-149.0136,10.7,1.6,ml,,,,0.82,ak,ak0198n50y3y,2019-07-07T13:47:09.235Z,"58km S of Cantwell, Alaska",earthquake,,0.1,,,automatic,ak,ak
2019-07-07T13:42:11.630Z,35.9641667,-117.4871667,-0.01,1.61,ml,12,223,0.1731,0.31,ci,ci38476391,2019-07-07T13:46:09.590Z,"23km NNW of Searles Valley, CA",earthquake,1.9,31.61,0.162,15,automatic,ci,ci
2019-07-07T13:36:57.770Z,35.8916667,-117.6853333,3.69,1.42,ml,13,79,0.08087,0.13,ci,ci38476375,2019-07-07T13:40:39.560Z,"21km ESE of Little Lake, CA",earthquake,0.27,0.82,0.243,16,automatic,ci,ci
2019-07-07T13:36:15.550Z,35.9005,-117.6463333,13.34,1.37,ml,7,103,0.05046,0.19,ci,ci38476367,2019-07-07T13:39:59.093Z,"24km E of Little Lake, CA",earthquake,1.31,1.62,0.146,14,automatic,ci,ci
2019-07-07T13:35:46.734Z,17.1089,146.1306,109.83,4.5,mb,,77,1.886,0.54,us,us70004dxn,2019-07-07T14:08:40.040Z,"96km NNE of Anatahan, Northern Mariana Islands",earthquake,11,8.3,0.077,49,reviewed,us,us
2019-07-07T13:34:52.680Z,35.8421669,-117.6104965,10.59,2.04,ml,26,125,0.0284,0.33,ci,ci38476351,2019-07-07T13:45:51.970Z,"20km WNW of Searles Valley, CA",earthquake,0.63,0.99,0.217,26,automatic,ci,ci
2019-07-07T13:33:06.410Z,36.179,-117.9803333,2.65,2.24,ml,18,70,0.1186,0.16,ci,ci38476343,2019-07-07T13:36:52.020Z,"12km S of Olancha, CA",earthquake,0.32,1.8,0.143,26,automatic,ci,ci
2019-07-07T13:32:33.160Z,35.9013333,-117.7561667,4.82,2.17,ml,24,55,0.06923,0.15,ci,ci38476335,2019-07-07T13:36:18.016Z,"14km ESE of Little Lake, CA",earthquake,0.25,0.61,0.217,24,automatic,ci,ci
2019-07-07T13:31:30.100Z,35.8815,-117.6778333,2.58,1.99,ml,18,49,0.08213,0.15,ci,ci38476327,2019-07-07T13:35:13.009Z,"22km ESE of Little Lake, CA",earthquake,0.22,0.39,0.168,25,automatic,ci,ci
2019-07-07T13:30:10.750Z,35.5696667,-117.5218333,9.57,2.4,ml,29,39,0.05143,0.16,ci,ci38476319,2019-07-07T13:41:03.910Z,"15km ESE of Ridgecrest, CA",earthquake,0.24,0.53,0.163,26,automatic,ci,ci
2019-07-07T13:28:11.720Z,35.8731667,-117.6801667,9.75,1.63,ml,13,85,0.08828,0.24,ci,ci38476311,2019-07-07T13:32:01.999Z,"22km ESE of Little Lake, CA",earthquake,0.55,1.21,0.138,20,automatic,ci,ci
2019-07-07T13:27:05.980Z,35.9336667,-117.7016667,3.4,1.55,ml,15,56,0.08115,0.15,ci,ci38476303,2019-07-07T13:30:56.992Z,"18km E of Little Lake, CA",earthquake,0.29,1.06,0.158,16,automatic,ci,ci
2019-07-07T13:26:15.630Z,35.6908333,-117.5323333,1.85,2.12,ml,13,95,0.1188,0.19,ci,ci38476295,2019-07-07T13:30:07.983Z,"14km SW of Searles Valley, CA",earthquake,0.38,0.69,0.128,2,automatic,ci,ci
2019-07-07T13:25:46.360Z,35.6318333,-117.459,6.13,2.73,ml,31,66,0.04531,0.13,ci,ci38476287,2019-07-07T13:36:40.710Z,"16km SSW of Searles Valley, CA",earthquake,0.22,0.55,0.14,25,automatic,ci,ci
2019-07-07T13:23:52.330Z,35.8961678,-117.6920013,6.51,3.26,ml,47,39,0.08324,0.16,ci,ci38476279,2019-07-07T15:03:20.040Z,"20km ESE of Little Lake, CA",earthquake,0.19,0.53,0.189,18,automatic,ci,ci
2019-07-07T13:23:21.420Z,35.813,-117.6088333,9.77,1.36,ml,11,151,0.009601,0.29,ci,ci38476271,2019-07-07T13:26:58.967Z,"19km WNW of Searles Valley, CA",earthquake,1.59,1.51,0.234,17,automatic,ci,ci
2019-07-07T13:22:39.070Z,35.6853333,-117.7368333,0.1,1.15,ml,7,214,0.1726,0.2,ci,ci38476263,2019-07-07T13:26:27.584Z,"8km ENE of Inyokern, CA",earthquake,1.42,31.61,0.141,9,automatic,ci,ci
